wdid,logg,mass
SDSS J173002.48+333401.8,7.35,0.44
SDSS J173313.10+642739.5,7.815,0.535
SDSS J173430.11+335407.5,8.98,1.19
SDSS J174833.40+243139.6,8.04,0.66
SDSS J203233.81+151535.7,7.65,0.43
SDSS J204729.04-064536.7,7.88,0.56
SDSS J204805.52+161540.8,7.98,0.61
SDSS J205059.36-000254.2,8.55,0.95
SDSS J205126.65-004113.4,7.93,0.61
SDSS J212131.55-055618.0,7.97,0.63
SDSS J212949.06+114613.8,7.83,0.51
SDSS J214159.48+010225.9,8.05,0.64
SDSS J220653.42-005812.6,7.51,0.38
SDSS J222312.95+124424.3,8.07,0.67
SDSS J223435.22+011248.5,5.43,0.0
SDSS J224351.99+010951.1,7.24,0.315
SDSS J224522.42-000109.4,8.82,1.11
SDSS J232527.81-005416.6,8.5,0.93
SDSS J233152.04+134206.6,7.96,0.6
SDSS J234257.10+144955.4,7.84,0.54
US 3093,7.89,0.55
WD 0210+138,7.92,0.57
WD 0253-070,7.41,0.34
WD 0346-063,7.71,0.47
WD 0727+376,7.83,0.55
WD 0745+436,7.49,0.39
WD 0830+536,8.0,0.6
WD 0849+549,7.2,0.32
WD 0855+583,7.2,0.29
WD 0908+226,9.5,1.46
WD 0918+593,8.77,1.169
WD 0921+020,7.54,0.39
WD 0947+016,8.88,1.14
WD 0958+024,7.12,0.3
WD 1248+009,8.17,0.72
WD 1309+550,8.99,1.19
WD 1446+050,8.81,1.078
WD 1500+011,8.38,0.86
WD 1643+425,7.54,0.38
WIRED J073717.69+412620.1,7.88,0.56
WIRED J130558.92+251449.8,8.04,0.66
[RGR2007] J204746.17+000659.2,8.125,0.71
[RGS2010] J012824.67+393704.3,7.31,0.34
[RGS2010] J013418.52+010100.0,7.71,0.49
[RGS2010] J033649.87-061507.0,7.53,0.38
[RGS2010] J035525.24-052240.6,7.17,0.32
[RGS2010] J083449.32+530317.6,8.19,0.73
[RGS2010] J085426.25+374653.0,7.94,0.58
[RGS2010] J091433.69+213540.4,7.24,0.31
[RGS2010] J092313.99+205119.9,8.92,1.16
[RGS2010] J092707.20+212312.9,7.29,0.32
[RGS2010] J093427.91+204658.6,8.7,1.03
[RGS2010] J105113.08+154220.7,7.6,0.44
[RGS2010] J124053.33+303428.1,7.69,0.49
[RGS2010] J161528.31+051012.7,7.05,0.24
[RGS2010] J234436.11+155953.2,7.44,0.34
[SGR2010] J0235+2800,8.03,0.66
[SGR2010] J0301+0502,8.43,0.875
[SGR2010] J0324+0019,7.7,0.625
[SGR2010] J0638+8355,7.8,0.52
[SGR2010] J1241+6007,7.61,0.44
[SGR2010] J1520+0634,8.4,0.86
[SGR2010] J1530+3844,8.5,0.92
[SGR2010] J2012+6017,7.79,0.55
[SGR2010] J2132+0014,8.49,0.92
[SLH2007] J045248.17-003934.3,6.11,0.05
[SLH2007] J080319.50+231043.0,6.69,0.2
[SLH2007] J081410.59+452315.7,8.36,0.84
[SLH2007] J083043.44+221312.0,8.35,0.85
[SLH2007] J095849.40+410100.5,7.97,0.61
[SLH2007] J100857.90+461822.3,8.24,0.77
[SLH2007] J114150.40+212459.4,8.0,0.65
[SLH2007] J141912.48+072816.9,7.53,0.38
[SLH2007] J153149.92+085724.9,7.74,0.51
[SLH2007] J154140.56+222710.1,7.33,0.3
[SLH2007] J154656.40+214201.4,6.18,0.04
[SLH2007] J161047.70+254604.5,7.84,0.52
[SLH2007] J161057.12+295647.8,7.23,0.4
[SLH2007] J161715.36+081849.0,8.66,1.02
[SLH2007] J161746.10+425829.3,7.6,0.47
[SLH2007] J163340.80+133417.0,7.59,0.44
[SLH2007] J224055.68+005444.9,7.71,0.47
